ID,Year of death,Age,Gender,Province,Vehicle
10101642,2562,35,1,Surat Thani, Motorcycle
9610478,2561,33,1,Nakhon Si Thammarat,Van
9612370,2561,28,1,Nakhon Si Thammarat,Car
9609823,2561,42,1,Phang Nga,Car
9611566,2561,60,1,Phang Nga, Motorcycle
9613176,2561,57,1,Phatthalung, Motorcycle
9614535,2561,55,1,Nakhon Si Thammarat,Car
9609571,2561,17,1,Nakhon Si Thammarat, Motorcycle
9610794,2561,21,1,Nakhon Si Thammarat, Motorcycle
9614984,2561,16,1,Krabi, Motorcycle
9611486,2561,24,1,Phuket, Motorcycle
9614523,2561,33,1,Phuket, Motorcycle
9610488,2561,43,1,Phuket, Motorcycle
9613759,2561,52,1,Phuket, Motorcycle
9609703,2561,54,1,Phuket, Motorcycle
9611547,2561,58,1,Phuket, Motorcycle
9610499,2561,67,1,Phuket, Motorcycle
9611414,2561,22,1,Surat Thani, Motorcycle
9612824,2561,18,1,Chumphon, Motorcycle
9610729,2561,29,1,Chumphon, Motorcycle
9613913,2561,51,1,Nakhon Si Thammarat, Motorcycle
9609799,2561,56,1,Nakhon Si Thammarat, Motorcycle
9612571,2561,55,1,Ranong, Motorcycle
9613269,2561,50,1,Chumphon, Motorcycle
9609994,2561,38,1,Chumphon, Motorcycle
9611176,2561,47,1,Krabi, Motorcycle
9614433,2561,27,1,Chumphon, Motorcycle
9610092,2561,27,2,Nakhon Si Thammarat, Motorcycle
9613118,2561,67,2,Nakhon Si Thammarat, Motorcycle
9610265,2561,62,2,Chumphon, Motorcycle
9609759,2561,48,2,Phang Nga, Motorcycle
9612841,2561,64,2,Nakhon Si Thammarat, Motorcycle
9610701,2561,44,2,Phuket, Motorcycle
9611643,2561,69,2,Phuket, Motorcycle
9613842,2561,60,2,Chumphon, Motorcycle
9609758,2561,67,2,Chumphon, Motorcycle
9612475,2561,39,2,Trang, Motorcycle
9614941,2561,10,2,Nakhon Si Thammarat, Motorcycle
9615105,2561,50,2,Nakhon Si Thammarat, Motorcycle
9610497,2561,70,2,Nakhon Si Thammarat, Motorcycle
9610522,2561,70,2,Nakhon Si Thammarat, Motorcycle
9609690,2561,13,2,Phang Nga, Motorcycle
9614663,2561,63,2,Phuket,Car
9609572,2561,36,2,Surat Thani, Motorcycle
9610734,2561,15,2,Chumphon, Motorcycle
9612067,2561,12,2,Nakhon Si Thammarat, Motorcycle
9614935,2561,19,2,Nakhon Si Thammarat, Motorcycle
9614934,2561,20,2,Nakhon Si Thammarat, Motorcycle
9614296,2561,41,2,Nakhon Si Thammarat, Motorcycle
9610130,2561,59,2,Nakhon Si Thammarat, Motorcycle
9610177,2561,13,2,Chumphon, Motorcycle
9610070,2561,52,2,Chumphon, Motorcycle
9615106,2561,19,2,Satun, Motorcycle
9609976,2561,28,2,Satun, Motorcycle
9609791,2561,18,2,Pattani, Motorcycle
9609768,2561,45,2,Nakhon Si Thammarat, Motorcycle
9610096,2561,53,2,Surat Thani, Motorcycle
9610055,2561,34,2,Songkhla, Motorcycle
9609846,2561,46,2,Songkhla, Motorcycle
9609665,2561,25,2,Satun, Motorcycle
9610464,2561,49,2,Satun, Motorcycle
9611452,2561,63,2,Trang, Motorcycle
9609848,2561,20,2,Phatthalung, Motorcycle
9610061,2561,51,2,Phatthalung, Motorcycle
9610774,2561,53,2,Satun, Motorcycle
9610540,2561,21,2,Yala, Motorcycle
9612777,2561,57,2,Yala, Motorcycle
9610978,2561,32,2,Chumphon, Motorcycle
9611379,2561,11,2,Trang, Motorcycle
9610028,2561,15,2,Trang, Motorcycle
9610483,2561,15,2,Pattani, Motorcycle
9610169,2561,21,2,Phatthalung,Car
9610544,2561,45,2,Pattani,Car
9609668,2561,70,2,Pattani,Car
9615540,2561,21,2,Chumphon,Car
9615798,2561,47,2,Chumphon,Car
9615810,2561,55,2,Ranong, Motorcycle
9615847,2561,34,2,Chumphon, Motorcycle
9615805,2561,69,2,Phuket, Motorcycle
9614462,2561,36,1,Nakhon Si Thammarat, Motorcycle
9613249,2561,34,1,Krabi, Motorcycle
9613870,2561,37,1,Krabi, Motorcycle
9611551,2561,42,1,Krabi, Motorcycle
9611500,2561,54,1,Krabi, Motorcycle
9609902,2561,57,1,Krabi, Motorcycle
9610773,2561,58,1,Krabi, Motorcycle
9614741,2561,23,1,Phuket, Motorcycle
9613215,2561,25,1,Phuket,Car
9614203,2561,27,1,Phuket, Motorcycle
9613232,2561,15,1,Surat Thani, Motorcycle
9614544,2561,18,1,Surat Thani, Motorcycle
9614719,2561,19,1,Surat Thani, Motorcycle
9614759,2561,25,1,Surat Thani, Motorcycle
9612117,2561,27,1,Surat Thani, Motorcycle
9613946,2561,29,1,Surat Thani, Motorcycle
9610390,2561,44,1,Surat Thani, Motorcycle
9612985,2561,57,1,Surat Thani, Motorcycle
9610906,2561,59,1,Surat Thani, Motorcycle
